2014-11-14 16:51:19 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:19 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:51:27 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:27 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:51:31 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:31 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:51:34 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:34 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:51:38 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:38 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:51:42 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:42 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:51:45 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:45 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:51:48 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:48 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:51:51 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:51 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:51:53 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:53 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:51:56 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:51:56 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:04 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:04 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:09 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:09 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:13 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:13 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:16 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:16 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:22 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:22 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:26 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:26 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:29 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:30 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:34 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:34 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:36 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:36 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:39 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:39 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:42 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:42 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:45 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:45 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:47 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:47 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:50 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:50 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:54 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:54 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:52:58 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:52:58 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:01 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:01 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:06 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:06 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:09 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:09 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:11 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:11 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:14 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:14 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:18 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:18 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:20 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:20 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:24 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:25 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:29 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:29 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:33 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:33 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:37 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:37 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:39 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:39 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:42 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:42 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:50 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:50 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:53 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:53 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:57 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:57 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:00 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:00 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:03 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:03 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
